Year, DayOfYear, WeekOfYear, DateTime, distanceMeters, totalTimeSeconds
2017,269,39,2017-09-26T09:00,6064,2330
2021,244,35,2021-09-01T11:15,1590,810
2022,218,32,2022-08-06T06:06,11290,4279
2022,100,15,2022-04-10T17:43,8504,4036
2020,185,27,2020-07-03T06:23,3313,1304
2022,45,7,2022-02-14T17:47,185,117
2021,141,21,2021-05-21T17:55,1613,847
2022,152,22,2022-06-01T07:07,8210,2929
2020,44,7,2020-02-13T07:56,5020,1891
2022,196,28,2022-07-15T22:04,3687,1283
2021,188,27,2021-07-07T16:48,1618,622
2020,57,9,2020-02-26T09:45,4261,1533
2022,167,24,2022-06-16T17:28,6519,2581
2022,361,52,2022-12-27T14:25,9684,4457
2022,187,27,2022-07-06T07:12,9678,3937
2020,296,43,2020-10-22T07:34,5667,2085
2021,113,17,2021-04-23T09:04,1614,599
2021,78,12,2021-03-19T07:47,1612,641
2023,21,3,2023-01-21T08:40,8056,2996
2017,365,53,2017-12-31T13:43,7538,3956
2018,283,41,2018-10-10T06:18,6573,3545
2020,32,5,2020-02-01T17:29,402,225
2023,54,8,2023-02-23T16:24,4842,2198
2021,6,1,2021-01-06T16:05,1603,582
2022,171,25,2022-06-20T19:42,504,335
2018,174,25,2018-06-23T08:20,1899,1497
2023,41,6,2023-02-10T16:47,8286,3904
2022,330,48,2022-11-26T10:39,3889,1945
2022,331,48,2022-11-27T08:02,3686,3975
2020,199,29,2020-07-17T17:25,6493,2760
2020,124,18,2020-05-03T06:22,19382,7123
2018,161,23,2018-06-10T19:30,9495,5581
2022,216,31,2022-08-04T05:41,8100,2900
2018,19,3,2018-01-19T16:23,7000,3219
2022,121,18,2022-05-01T09:46,5840,2561
2022,41,6,2022-02-10T17:48,7017,2962
2022,199,29,2022-07-18T10:14,3250,1058
2022,164,24,2022-06-13T17:42,6869,3094
2023,51,8,2023-02-20T15:46,8058,3543
2022,337,49,2022-12-03T15:19,5000,2172
2021,120,18,2021-04-30T13:33,1613,691
2022,86,13,2022-03-27T17:58,5260,2700
2022,7,1,2022-01-07T18:47,2693,1380
2020,39,6,2020-02-08T09:21,6694,2504
2020,348,50,2020-12-13T06:57,1608,563
2023,43,7,2023-02-12T16:38,5234,2396
2018,269,39,2018-09-26T06:19,7401,2967
2022,261,38,2022-09-18T07:47,1661,673
2021,322,46,2021-11-18T16:22,7146,3398
2022,124,18,2022-05-04T15:28,11820,5210
2018,7,1,2018-01-07T16:38,8140,3134
2017,322,46,2017-11-18T18:43,6031,2333
2018,311,45,2018-11-07T18:14,3927,1983
2021,23,4,2021-01-23T17:05,1612,570
2020,198,29,2020-07-16T16:58,6542,2789
2020,235,34,2020-08-22T06:47,1610,592
2021,31,5,2021-01-31T10:15,1612,605
2020,175,25,2020-06-23T06:45,6535,2380
2022,135,20,2022-05-15T10:33,3280,1395
2022,175,25,2022-06-24T21:23,2000,1238
2022,17,3,2022-01-17T16:51,8183,2895
2018,132,19,2018-05-12T10:20,3252,1018
2020,306,44,2020-11-01T07:08,1612,544
2022,326,47,2022-11-22T13:33,4238,1881
2018,126,18,2018-05-06T06:51,10593,4108
2020,44,7,2020-02-13T06:56,5020,1891
2021,350,50,2021-12-16T05:47,7234,3819
2022,225,33,2022-08-13T19:16,3463,1367
2018,275,40,2018-10-02T18:03,6261,3158
2020,61,9,2020-03-01T08:01,10276,3356
2022,181,26,2022-06-30T07:10,4906,1815
2022,172,25,2022-06-21T15:57,1478,1714
2017,287,41,2017-10-14T18:31,4834,3763
2022,233,34,2022-08-21T08:45,1632,612
2023,52,8,2023-02-21T16:45,6836,3235
2020,103,15,2020-04-12T07:25,14865,5734
2020,292,42,2020-10-18T17:39,1612,742
2021,355,51,2021-12-21T16:59,6744,2685
2022,145,21,2022-05-25T06:52,6000,2583
2022,171,25,2022-06-20T20:32,650,555
2023,32,5,2023-02-01T04:57,494,1242
2021,343,49,2021-12-09T05:50,7000,3612
2022,168,24,2022-06-17T13:39,276,223
2017,358,52,2017-12-24T18:32,5207,2126
2020,301,43,2020-10-27T07:08,1605,571
2022,354,51,2022-12-20T15:51,7825,4033
2021,16,3,2021-01-16T17:22,1611,589
2018,153,22,2018-06-02T10:04,2283,2537
2018,99,15,2018-04-09T06:34,9656,6377
2022,182,26,2022-07-01T07:24,4854,1787
2020,267,39,2020-09-23T06:59,1604,592
2022,138,20,2022-05-18T17:16,5014,2555
